,movieid,moviename,genres
2378,4958,The Legend of Bagger Vance,14
2379,4958,The Legend of Bagger Vance,18
2380,786,Almost Famous,18
2381,786,Almost Famous,10402
2382,9513,Garfield: A Tail of Two Kitties,16
2383,9513,Garfield: A Tail of Two Kitties,35
2384,9513,Garfield: A Tail of Two Kitties,10751
2385,11679,xXx: State of the Union,28
2386,11679,xXx: State of the Union,12
2387,11679,xXx: State of the Union,80
2388,11679,xXx: State of the Union,18
2389,11679,xXx: State of the Union,9648
2390,11679,xXx: State of the Union,53
2391,38321,Priest,28
2392,38321,Priest,878
2393,38321,Priest,14
2394,38321,Priest,53
2395,38321,Priest,27
2396,14411,Sinbad: Legend of the Seven Seas,10751
2397,14411,Sinbad: Legend of the Seven Seas,16
2398,14411,Sinbad: Legend of the Seven Seas,12
2399,8413,Event Horizon,27
2400,8413,Event Horizon,878
2401,8413,Event Horizon,9648
2402,10052,Dragonfly,18
2403,9676,The Black Dahlia,18
2404,9664,Flyboys,28
2405,9664,Flyboys,12
2406,9664,Flyboys,18
2407,9664,Flyboys,36
2408,9664,Flyboys,10749
2409,9664,Flyboys,10752
2410,2100,The Last Castle,28
2411,2100,The Last Castle,18
2412,2100,The Last Castle,53
2413,10384,Supernova,27
2414,10384,Supernova,878
2415,10384,Supernova,53
2416,137321,Winter's Tale,18
2417,137321,Winter's Tale,14
2418,137321,Winter's Tale,9648
2419,137321,Winter's Tale,10749
2420,123553,The Mortal Instruments: City of Bones,28
2421,123553,The Mortal Instruments: City of Bones,12
2422,123553,The Mortal Instruments: City of Bones,18
2423,123553,The Mortal Instruments: City of Bones,9648
2424,123553,The Mortal Instruments: City of Bones,10749
2425,123553,The Mortal Instruments: City of Bones,14
2426,11260,Meet Dave,35
2427,11260,Meet Dave,878
2428,11260,Meet Dave,12
2429,11260,Meet Dave,10751
2430,9009,Dark Water,18
2431,9009,Dark Water,27
2432,9009,Dark Water,53
