,g_name,g_id,votecount
10596,Horror,27,61
10597,Thriller,53,61
10598,Drama,18,40
10599,Science Fiction,878,40
10600,Thriller,53,40
10601,Comedy,35,441
10602,Action,28,441
10603,Drama,18,441
10604,Comedy,35,15
10605,Family,10751,15
10606,Comedy,35,63
10607,Horror,27,63
10608,Horror,27,40
10609,Drama,18,11
10610,Drama,18,21
10611,Horror,27,21
10612,Thriller,53,21
10613,Adventure,12,664
10614,Comedy,35,664
10615,Science Fiction,878,664
10616,Crime,80,19
10617,Drama,18,363
10618,Crime,80,363
10619,Action,28,47
10620,Adventure,12,47
10621,Science Fiction,878,47
10622,Comedy,35,4
10623,Music,10402,4
10624,Drama,18,5
10625,Family,10751,5
10626,Comedy,35,1
10627,Drama,18,1
10628,Family,10751,1
10629,Music,10402,18
10630,Romance,10749,18
10631,Drama,18,6
10632,Thriller,53,88
10633,Fantasy,14,93
10634,Adventure,12,93
10635,Animation,16,93
10636,Comedy,35,93
10637,Family,10751,93
10638,Music,10402,93
10639,Animation,16,808
10640,Family,10751,808
10641,Music,10402,808
10642,Thriller,53,0
10643,Drama,18,0
10644,Horror,27,254
10645,Thriller,53,254
10646,Horror,27,196
10647,Thriller,53,196
10648,Drama,18,11
10649,Fantasy,14,48
10650,Drama,18,48
10651,Thriller,53,5
10652,Romance,10749,5
10653,Drama,18,4
10654,Thriller,53,19
10655,Drama,18,19
10656,Comedy,35,5
10657,Romance,10749,5
10658,Foreign,10769,5
10659,Romance,10749,12
10660,Comedy,35,12
10661,Music,10402,12
10662,Action,28,59
10663,Comedy,35,59
10664,Horror,27,59
10665,Drama,18,143
10666,History,36,143
10667,Romance,10749,143
10668,Crime,80,125
10669,Drama,18,125
10670,Comedy,35,51
10671,Drama,18,51
10672,Drama,18,0
10673,Crime,80,0
10674,Horror,27,934
10675,Mystery,9648,934
10676,Drama,18,4
10677,Mystery,9648,4
10678,Thriller,53,4
10679,Thriller,53,36
10680,Horror,27,36
10681,Science Fiction,878,36
10682,Adventure,12,15
10683,Drama,18,15
10684,Western,37,15
10685,Action,28,760
10686,Thriller,53,760
10687,Adventure,12,760
10688,Comedy,35,39
10689,Horror,27,39
10690,Action,28,39
10691,Comedy,35,200
10692,Romance,10749,200
10693,Science Fiction,878,200
10694,Horror,27,1832
10695,Thriller,53,1832
10696,Comedy,35,215
10697,Crime,80,657
10698,Drama,18,657
10699,Adventure,12,957
10700,Action,28,957
10701,Thriller,53,957
10702,Science Fiction,878,957
10703,Action,28,242
10704,Comedy,35,242
10705,Crime,80,353
10706,Drama,18,353
10707,Horror,27,125
10708,Mystery,9648,125
10709,Drama,18,958
10710,Thriller,53,958
10711,Drama,18,77
10712,Drama,18,240
10713,Adventure,12,8
10714,Drama,18,8
10715,Romance,10749,8
10716,Adventure,12,231
10717,Animation,16,231
10718,Comedy,35,231
10719,Drama,18,231
10720,Drama,18,24
